City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
360,Fort Morgan,US,264.15,40.2503,-103.8,Hampton Inn Fort Morgan
361,Kudirkos Naumiestis,LT,272.7,54.7731,22.8631,Prie sienos
362,Springfield,US,274.82,37.2153,-93.2982,Best Western Route 66 Rail Haven
363,Ust-Tsilma,RU,254.53,65.441,52.1498,U Praskov'i
364,Bay Roberts,CA,274.26,47.5999,-53.2648,Stonewall Inn
365,Tuscaloosa,US,293.71,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
366,Severo-Kurilsk,RU,268.83,50.6789,156.125,Kak Doma
367,Husavik,IS,268.15,66.0449,-17.3389,Bjarnabúð
368,Sosva,RU,268.64,59.1766,61.8558,Gostinitsa
369,Ploemeur,FR,284.15,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
370,Follonica,IT,283.15,42.9263,10.7616,Hotel Parrini
371,Tulun,RU,242.15,54.5611,100.5792,Квартира
